NO,TICKET,WEEK,SEVERITY,SITE,SOURCE,INCIDENT START,INCIDENT END,SERVICE-IMPACT START (10AM-10PM),SERVICE-IMPACT END (10AM-10PM),SERVICE DOWNTIME,ONSITE,ROOT CAUSE,REMARKS,REVISED BY
1,198047,1,3,FJB::Guess::Guess - Design Village,Monitoring,4/1/2020 0:09,4/1/2020 10:19,,,0 days 0 hrs 0 mins ,,<Open Ticket>,"Issue: Primary link TM not stable
Updated: Telco check been done. Premise closed till 28th April, followup with end user to reboot the TM modem once premise open (after 12 May 2020).",Nathasha
2,198055,1,2,FJB::Guess::Guess - Design Village,Monitoring,4/1/2020 1:59,4/1/2020 2:20,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Intermittent,"Escalated to TM for checking into primary link issue. 
Please refer NTS ticket no #198047 for primary link.",Nathasha
3,198036,1,2,FJB::Guess::Guess - Design Village,Monitoring,4/1/2020 0:09,4/1/2020 0:10,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Intermittent,"Monitored site is up once fail over to backup link. 
Kindly refer ticket number for primary link down (198047)",Nathasha
4,198051,1,2,FJB::Guess::Guess - Design Village,Monitoring,4/1/2020 1:29,4/1/2020 1:32,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Intermittent,Escalated to TM for checking into primary link issue. Please refer NTS ticket no #198047 for primary link.,Nathasha
5,198497,1,2,FJB::US Polo Assn::US Polo Assn (USPA) - JPO,Monitoring,4/3/2020 5:26,4/3/2020 5:27,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Intermittent,Self restored,Wany
6,198641,1,2,FJB::SuperDry::SuperDry Sunway Velocity,Monitoring,4/3/2020 18:36,4/9/2020 18:32,4/3/2020 18:36,4/9/2020 18:32,5 days 23 hrs 56 mins ,,Others::Customer - Power Outage,Links are up once power resumed ,Wany
6,198641,1,2,FJB::SuperDry::SuperDry Sunway Velocity,Monitoring,4/9/2020 18:37,4/21/2020 18:33,4/9/2020 18:37,4/21/2020 18:33,11 days 23 hrs 56 mins ,,Others::Customer - Power Outage,Links are up once power resumed ,Wany
7,198797,1,2,FJB::US Polo Assn::US Polo Assn (USPA) - JPO,Monitoring,4/4/2020 15:41,4/4/2020 16:13,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Intermittent,"Site using 3G-3G, link is up via self restored. Suspected primary link Digi 3G flapping.",Wany
8,198875,1,2,FJB::US Polo Assn::US Polo Assn (USPA) - JPO,Monitoring,4/4/2020 21:19,4/4/2020 21:30,,,0 days 0 hrs 0 mins ,,Others::Customer - Power Outage,Link is up once power resumed. ,Wany
8,198875,1,2,FJB::US Polo Assn::US Polo Assn (USPA) - JPO,Monitoring,4/4/2020 21:35,4/4/2020 21:46,,,0 days 0 hrs 0 mins ,,,,
9,199348,2,2,FJB::LaSenza::La Senza - Station 18,Monitoring,4/6/2020 20:11,4/6/2020 20:13,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Flapping,"Issue: Site total down
Remark:  Primary link was flapping and link monitored up via self-restored. 
Backup unable to triggered yet as it only 2 minute downtime.",Nathasha
10,199480,2,2,FJB::US Polo Assn::US Polo Assn (USPA) - JPO,Monitoring,4/7/2020 6:35,4/7/2020 6:39,,,0 days 0 hrs 0 mins ,,Others::Customer - Power Outage,Link is up once power resumed,Nathasha
11,199459,2,2,FJB::US Polo Assn::US Polo Assn (USPA) - JPO,Monitoring,4/7/2020 4:27,4/7/2020 4:28,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Flapping, Link is up via self-restored ,Nathasha
12,199461,2,2,FJB::SuperDry::Superdry - Midvalley,Monitoring,4/7/2020 4:41,4/7/2020 4:50,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Flapping,"Issue: Site total down
Remark:  Primary link was flapping and link monitored up via self-restored. 
Backup was bouncing at the same time leads to site total down.
Remarks: Ticket were accidentally merged into ticket #197669.",Nathasha
13,199494,2,2,FJB::SuperDry::Superdry - Midvalley,Monitoring,4/7/2020 7:08,4/7/2020 7:37,,,0 days 0 hrs 0 mins ,,WAN Backup - Flapping,Site were total down and restored. Primary link monitored total down (197669) and backup link flapping lead site total down. Site is up via backup link once telco reset cellular connection.,Nathasha
13,199494,2,2,FJB::SuperDry::Superdry - Midvalley,Monitoring,4/7/2020 7:43,4/7/2020 7:47,,,0 days 0 hrs 0 mins ,,WAN Backup - Flapping,Site were total down and restored. Primary link monitored total down (197669) and backup link flapping lead site total down. Site is up via backup link once telco reset cellular connection.,Nathasha
13,199494,2,2,FJB::SuperDry::Superdry - Midvalley,Monitoring,4/7/2020 7:54,4/7/2020 8:04,,,0 days 0 hrs 0 mins ,,WAN Backup - Flapping,Site were total down and restored. Primary link monitored total down (197669) and backup link flapping lead site total down. Site is up via backup link once telco reset cellular connection.,Nathasha
13,199494,2,2,FJB::SuperDry::Superdry - Midvalley,Monitoring,4/7/2020 8:23,4/7/2020 8:45,,,0 days 0 hrs 0 mins ,,WAN Backup - Flapping,Site were total down and restored. Primary link monitored total down (197669) and backup link flapping lead site total down. Site is up via backup link once telco reset cellular connection.,Nathasha
13,199494,2,2,FJB::SuperDry::Superdry - Midvalley,Monitoring,4/7/2020 8:50,4/7/2020 8:51,,,0 days 0 hrs 0 mins ,,WAN Backup - Flapping,Site were total down and restored. Primary link monitored total down (197669) and backup link flapping lead site total down. Site is up via backup link once telco reset cellular connection.,Nathasha
14,200285,2,2,FJB::Guess::Guess - Acc.Seremban,Monitoring,4/11/2020 21:00,4/11/2020 23:49,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Session Hang,"Issue: Site total down
Remark:  Primary link session hang. Link restored once telco refresh session. Backup link signal was flapping. Backup link up via self restored.",Nathasha
14,200285,2,2,FJB::Guess::Guess - Acc.Seremban,Monitoring,4/12/2020 1:05,4/12/2020 7:17,,,,,,,
15,201705,3,2,FJB::US Polo Assn::US Polo Assn (USPA) - JPO,Monitoring,4/19/2020 21:30,4/19/2020 21:31,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Flapping,Link up via self restored.,Shalini
16,201848,4,2,FJB::Guess::Guess - Acc.Seremban,Monitoring,4/20/2020 22:09,4/21/2020 8:45,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Session Hang,"Root cause: Primary link Tm session hang and backup flapping lead site total down recently.
Solution: Primary Link TM resolved once refresh session/reset port been done while for backup link, self restored. FOT success.",Farhan
17,201828,4,2,FJB::US Polo Assn::US Polo Assn (USPA) - JPO,Monitoring,4/20/2020 19:24,4/20/2020 19:26,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Flapping,Link up via self restored.,Farhan
19,202044,4,3,FJB::Guess::Guess - Queensbay Mall,Monitoring,4/21/2020 12:00,4/21/2020 13:34,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Session Hang,Link restored update telco refresh session and reset port.,Farhan
20,201875,4,2,FJB::LaSenza::La Senza - The Spring,Monitoring,4/21/2020 1:02,4/21/2020 3:05,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Telco Outage,"Issue: Primary Link faced telco outage and backup link flapping lead site total down. 
Solution: Primary Link & backup link self restored. FOT success.",Farhan
21,201880,4,2,FJB::US Polo Assn::US Polo Assn (USPA) - JPO,Monitoring,4/21/2020 1:31,4/21/2020 8:59,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Flapping,"Issue: Primary Link Digi 3G faced signal flapping & Backup link also flapped lead site total down.
Solution: Primary Link resolved once Telco reset sim network while backup link self restored. FOT success.",Farhan
22,202352,4,2,FJB::Marc Jacob::Marc Jacob KLCC,Monitoring,4/22/2020 16:20,4/22/2020 16:21,4/22/2020 16:20,4/22/2020 16:21,0 days 0 hrs 1 mins ,,WAN::WAN Backup - Flapping,"Issue: Site total down
Update: Site running on single leg backup link. Site total down due to backup link flapped and up via self restored. Primary link is down (#196110).",Shalini
23,202566,4,2,FJB::Guess::Guess - Acc.Seremban,Monitoring,4/23/2020 21:00,4/23/2020 22:01,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Intermittent,Link is up and stable after TM reset port and refresh session ,Shalini
24,202692,4,3,FJB::Guess::Guess - Imago,Monitoring,4/24/2020 12:09,,,,0 days 0 hrs 0 mins ,,<Open Ticket>,"Issue: Primary TM Down
Update: Followup with end user to reboot TM Modem once premise open (MCO - after 12 May 2020).",Farhan
25,202586,4,2,FJB::Guess::Guess - Acc.Seremban,Monitoring,4/24/2020 1:38,4/24/2020 7:32,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Intermittent,Link is up and stable after TM reset port and refresh session,Farhan
26,203019,5,2,FJB::Guess::Guess - Acc.Seremban,Monitoring,4/25/2020 22:26,4/26/2020 7:16,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Session Hang,"Issue: Primary TM session hang, backup flapping. Lead site total down.
Update: Primary Up once TM reset the port while for backup link Up via self restored.",Farhan
27,203362,5,2,FJB::Guess::Guess - Acc.Seremban,Monitoring,4/27/2020 21:12,4/28/2020 7:14,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Session Hang,"Site is up after TM reset port (before reset session established for 10 hours ago). 3G unable to triggered might be due to primary link connection was not total down (only connection hang) lead site total down. 
Remark : Currently premise closed due to MCO.",Wany
28,203456,5,3,FJB::Guess::Guess - One Utama,Client,4/28/2020 13:33,4/29/2020 18:34,,,0 days 0 hrs 0 mins ,,WAN::WAN - IPSec Issue,Issue resolved once L3 upgrade firmware version of the router ,Nathasha
29,203470,5,2,FJB::Guess::Guess - One Utama,Monitoring,4/28/2020 14:36,4/28/2020 17:55,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Intermittent,"Primary link facing intermittent connection which site unable to fail over to backup 3G lead site total down. Primary link stable after PIC  rebooted VA router, upplugged cable connectivity from port A and rebooted Maxis Modem.  
Remark : Currently premise closed due to MCO. Site still using old firmware. L3 have upgrade firmware after site stable.",Wany
30,203678,5,2,"FJB::Pretty Ballerinas::Pretty Ballerinas - KLCC
",Monitoring,4/29/2020 9:45,4/29/2020 9:46,,,0 days 0 hrs 0 mins ,,Others::Customer - Power Outage,Links are up once power resumed,Nathasha
