NO,TICKET,WEEK,SEVERITY,State,SITE,SOURCE,INCIDENT START,INCIDENT END,SERVICE-IMPACT START,SERVICE-IMPACT END,SERVICE DOWNTIME,ONSITE,DESCRIPTION,ROOT CAUSE,REMARKS,REVISED BY
1,204022,5,1,Perak,PMP::A046::dmcm20281av & dmcm20281bv,Monitoring,05/01/2020 0:22:46,05/01/2020 0:27:45,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Wany
2,204181,5,3,Selangor,PMP::B025::dmcm20202av,Monitoring,04/04/2020 14:13:00,,,,0 days 0 hrs 0 mins ,,AV Wired Down,<Open Ticket>,"Issue: AV Wired monitored down
Update:  Site temporary closed between 18th march - 9th June 2020.",Wany
3,204092,5,3,KL,PMP::W036::dmcm20007av,Monitoring,04/04/2020 0:10:30,,,,0 days 0 hrs 0 mins ,,AV Wired Down,<Open Ticket>,"Issue: AV Wired monitored down
Update:  Site temporary closed between 18th march - 9th June 2020.",Wany
4,204084,5,3,KL,PMP::W033::dmcm20006av,Monitoring,05/01/2020 6:45:00,05/04/2020 23:00:30,,,0 days 0 hrs 0 mins ,,AV Wired Down,NTS::WAN Wired - Session Hang,Link monitored up after TM done reset port and refresh session,Nathasha
5,204035,5,3,KL,PMP::W094::dmcm20011bv,Monitoring,05/01/2020 2:42:00,05/01/2020 5:36:00,,,0 days 0 hrs 0 mins ,,BV Cellular Down (Celcom),NTS::WAN Wireless - Flapping,BV router monitored up after telco reset cellular network from their end.,Wany
6,204352,5,3,KL,PMP::W094::dmcm20011bv,Monitoring,05/01/2020 21:19:00,05/02/2020 1:46:00,,,0 days 0 hrs 0 mins ,,BV Cellular Down (Celcom),NTS::WAN Wireless - Flapping,BV link up once telco done reset cellular network from their end.,Wany
7,204126,5,1,Perak,PMP::A005::dmcm20247av & dmcm20247bv,Monitoring,05/01/2020 12:26:01,05/01/2020 14:30:01,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Wany
8,204360,5,1,Johor,PMP::J012::dmcm20219av & dmcm20219bv,Monitoring,05/01/2020 22:14:48,05/01/2020 22:15:47,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),NTS::WAN Wireless - Flapping,"AV wireless flapping & self restored. 
Remarks: AV Wired currently down (single-leg failure #201202) and both AV & BV Wireless faced signal flapping causing the site total down recently.",Wany
9,204026,5,1,Perak,PMP::A031::dmcm20268av & dmcm20268bv,Monitoring,05/01/2020 1:00:48,05/01/2020 1:04:48,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Wany
10,204586,5,1,Selangor,PMP::W006::dmcm20110av & dmcm20110bv,Monitoring,05/02/2020 15:48:00,05/04/2020 15:48:00,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
11,204467,5,1,Perak,PMP::A029::dmcm20266av & dmcm20266bv,Monitoring,05/02/2020 10:23:16,05/02/2020 10:25:15,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Wany
12,204699,5,1,Johor,PMP::J012::dmcm20219av & dmcm20219bv,Monitoring,05/02/2020 21:52:48,05/02/2020 21:53:48,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),NTS::WAN Wireless - Flapping,"AV wireless flapping & self restored. 
Remarks: AV Wired currently down (single-leg failure #201202) and BV router vlan5 connection monitored down (#204724) while AV wireless flapping lead site total down.",Wany
13,204387,5,1,Johor,PMP::J012::dmcm20219av & dmcm20219bv,Monitoring,05/02/2020 6:38:48,05/02/2020 6:58:48,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),NTS::WAN Wireless - Flapping,"AV wireless flapping & self restored. 
Remarks: AV Wired currently down (single-leg failure #201202) and BV router vlan5 connection monitored down (#204724) while AV wireless flapping lead site total down.",Wany
14,204369,5,1,Johor,PMP::J012::dmcm20219av & dmcm20219bv,Monitoring,05/02/2020 0:32:48,05/02/2020 0:34:47,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),NTS::WAN Wireless - Flapping,"AV wireless flapping & self restored. 
Remarks: AV Wired currently down (single-leg failure #201202) and BV router vlan5 connection monitored down (#204724) while AV wireless flapping lead site total down.",Wany
15,204707,5,1,Johor,PMP::J012::dmcm20219av & dmcm20219bv,Monitoring,05/02/2020 23:09:48,05/03/2020 2:28:48,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),NTS::WAN Wireless - Flapping,"AV wireless flapping & self restored. 
Remarks: AV Wired currently down (single-leg failure #201202) and BV router vlan5 connection monitored down (#204724) while AV wireless flapping lead site total down.",Wany
16,204690,5,1,Pahang,PMP::V022::dmcm20345av & dmcm20345bv,Monitoring,05/02/2020 21:35:10,05/07/2020 21:36:10,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Wany
17,204479,5,1,Pahang,PMP::V022::dmcm20345av & dmcm20345bv,Monitoring,05/02/2020 10:59:10,05/08/2020 11:01:10,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),NTS::WAN Wireless - Flapping,Site is using dual 3G. AV wireless flapped for 1 min and restored while BV unable to triggered due to short downtime lead site total down.,Wany
18,204378,5,1,KL,PMP::W015::dmcm20116av & dmcm20116bv,Monitoring,05/02/2020 3:47:46,05/04/2020 9:14:45,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
19,204724,5,3,Johor,PMP::J012::dmcm20219bv,Monitoring,04/25/2020 1:06:47,,,,0 days 0 hrs 0 mins ,,BV Router Down,<Open Ticket>,"Issue: BV router UP but VLAN5 DOWN
Update: Site temporary closed between 18th march - 9th June 2020.",Wany
20,205025,5,1,Perak,PMP::A057::dmcm20291av & dmcm20291av,Monitoring,05/03/2020 18:50:13,05/03/2020 19:01:13,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Wany
21,204934,5,2,Pahang,PMP::W076::dmcm20167av,Monitoring,05/03/2020 15:11:50,05/03/2020 19:02:50,,,0 days 0 hrs 0 mins ,,High Latency / Slow Ticket Transaction,NTS::WAN Wireless - High Latency,Site is using dual 3G. High latency issue resolved once telco reset cellular network.,Wany
22,204989,5,3,KL,PMP::W014::dmcm20002av,Monitoring,04/04/2020 17:14:40,,,,0 days 0 hrs 0 mins ,,AV Wired Down,<Open Ticket>,"Issue: AV Wired monitored down
Update:  Site temporary closed between 18th march - 9th June 2020.",Wany
23,204967,5,3,Johor,PMP::J024::dmcm20228av,Monitoring,05/03/2020 16:05:47,05/05/2020 18:27:00,,,0 days 0 hrs 0 mins ,,AV Wired Down,NTS::WAN Wired - Session Hang,Monitored link up after TM done reset port and refresh session,Nathasha
24,204824,5,2,Selangor,PMP::B015::dmcm20206av,PMP,05/03/2020 16:05:47,,,,0 days 0 hrs 0 mins ,,High Latency / Slow Ticket Transaction,<Open Ticket>,"Issue: Client escalate on the terminal showing comm retrying.
Update: Link is up via primary link DSL. Site temporary closed between 18th march - 9th June 2020.",Wany
25,204872,5,1,KL,PMP::V020::dmcm20343av & dmcm20343bv,Monitoring,05/03/2020 11:22:05,05/03/2020 16:01:05,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Wany
26,204720,5,1,Johor,PMP::J012::dmcm20219av & dmcm20219bv,Monitoring,05/03/2020 1:29:47,05/03/2020 1:35:47,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),NTS::WAN Wireless - Flapping,"AV wireless flapping & self restored. 
Remarks: AV Wired currently down (single-leg failure #201202) and BV router vlan5 connection monitored down (#204724) while AV wireless flapping lead site total down.",Wany
27,204767,5,3,KL,PMP::W094::dmcm20011bv,Monitoring,05/03/2020 5:13:00,05/03/2020 5:52:00,,,0 days 0 hrs 0 mins ,,BV Cellular Down (Celcom),NTS::WAN Wireless - Telco Outage,BV link up once telco rectified the issue.,Wany
28,205059,5,3,KL,PMP::W089::dmcm20010av,Monitoring,05/01/2020 9:40:00,05/04/2020 7:23:00,,,0 days 0 hrs 0 mins ,,AV Wired Down,NTS::WAN Wired - Session Hang,Link is up once TM reset the port,Nathasha
29,205038,5,1,Perak,PMP::A010::dmcm20251av & dmcm20251bv,Monitoring,05/03/2020 19:08:16,05/03/2020 19:12:15,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Wany
30,204858,5,3,KL,PMP::W068::dmcm20159av,Monitoring,05/02/2020 3:17:30,05/03/2020 14:55:20,,,0 days 0 hrs 0 mins ,,AV Wired Down,NTS::WAN Wired - Session Hang,Primary link up once telco reset port and session.,Wany
31,205156,1,1,KL,PMP::V011::dmcm20194av & dmcm20194bv,Monitoring,05/04/2020 9:36:59,05/04/2020 9:40:00,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,"Solution: Links are up once power resumed 
Remarks: BV stable once Telco reset sim network congested due to high traffic",Nathasha
32,205280,1,1,Johor,PMP::J004::dmcm20212av & dmcm20212bv,Monitoring,05/04/2020 15:17:59,05/04/2020 15:51:00,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
33,205162,1,1,Perak,PMP::A042::dmcm20277av & dmcm20277bv,Monitoring,05/04/2020 9:43:10,05/04/2020 9:45:10,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
34,205215,1,1,Johor,PMP::J043::dmcm20243av & dmcm20243bv,Monitoring,05/04/2020 11:36:40,05/04/2020 12:56:40,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
35,205182,1,1,Perak,PMP::A047::dmcm20282av & dmcm20282bv,Monitoring,05/04/2020 10:13:41,05/04/2020 10:15:40,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
36,205169,1,1,Johor,PMP::J042::dmcm20242av & dmcm20242bv,Monitoring,05/04/2020 10:05:38,05/04/2020 10:08:37,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
37,205295,1,1,Johor,PMP::J028::dmcm20232av & dmcm20232bv,Monitoring,05/04/2020 16:34:26,05/06/2020 11:27:26,,,,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
38,205316,1,3,Kedah,PMP::K013::dmcm20327bv,Monitoring,05/04/2020 18:34:00,05/05/2020 5:10:00,,,0 days 0 hrs 0 mins ,,BV Cellular Down (Celcom),NTS::WAN Wireless - Flapping,Link is up once next tier team reset cellular interface for BV wireless ,Nathasha
39,205200,1,1,Selangor,PMP::W007::dmcm20000av & dmcm20000bv,Monitoring,05/04/2020 10:44:14,05/04/2020 10:47:14,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
40,205260,1,1,Perak,PMP::A037::dmcm20039av & dmcm20039bv,Monitoring,05/04/2020 13:23:32,05/04/2020 13:26:32,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
41,205307,1,1,Perak,PMP::A041::dmcm20038av & dmcm20038bv,Monitoring,05/04/2020 17:50:06,05/04/2020 18:36:06,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
42,205421,1,1,Selangor,PMP::V005::dmcm20189av & dmcm20189bv,Monitoring,05/05/2020 10:10:22,05/05/2020 10:13:22,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
43,205651,1,1,Perak,PMP::A029::dmcm20266av & dmcm20266bv,Monitoring,05/05/2020 18:43:16,05/11/2020 10:01:16,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
44,205496,1,1,KL,PMP::W087::dmcm20178av & dmcm20178bv,Monitoring,05/05/2020 12:21:12,05/18/2020 13:09:13,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
45,205500,1,1,Penang,PMP::P050::dmcm30003av & dmcm30003bv,Monitoring,05/05/2020 12:28:31,,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),<Open Ticket>,"Issue: Site total down & pending user to verify power status
Update: Site temporary closed between 18th march - 9th June 2020.",Nathasha
46,205341,1,1,Johor,PMP::J034::dmcm20236av & dmcm20236bv,Monitoring,05/05/2020 0:47:04,05/05/2020 1:26:04,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
47,205355,1,1,Pahang,PMP::V022::dmcm20345av & dmcm20345bv,Monitoring,05/05/2020 1:46:10,05/05/2020 1:49:10,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),NTS::WAN Wireless - Flapping,"Root Cause: WAN Wireless - Flapping, BV - signal weak (suspected due to outlet closed)
Solution: Link up via Self- Restored",Nathasha
48,205622,1,1,Perak,PMP::A022::dmcm20259av & dmcm20259bv,Monitoring,05/05/2020 17:19:38,05/06/2020 17:36:38,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
49,205534,1,2,Melaka,PMP::M063::dmcm20027av,Monitoring,05/05/2020 13:40:24,05/05/2020 15:47:00,,,0 days 0 hrs 0 mins ,,AV Wired Down,NTS::WAN Wired - High Latency,This is a duplicate ticket of TM connection down and issue has been following up in ticket #201383,Nathasha
50,205680,1,1,Perak,PMP::A049::dmcm20284av & dmcm20284bv,Monitoring,05/05/2020 20:18:02,05/12/2020 9:16:02,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
51,205656,1,1,Perak,PMP::A010::dmcm20251av & dmcm20251bv,Monitoring,05/05/2020 18:49:16,05/05/2020 21:39:16,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
52,205568,1,3,Johor,PMP::J040::dmcm20025bv,Monitoring,04/23/2020 12:55:00,,,,0 days 0 hrs 0 mins ,,BV Router Down,<Open Ticket>,"Issue: BV router is monitored down
Update: Pending to verify on power status once the premise opens back.",Nathasha
53,205851,1,1,,Planned Maintenance Notification | <7th May 2020><Zabbix Monitoring System>,Monitoring,05/06/2020 16:18:00,05/07/2020 19:48:00,,,0 days 0 hrs 0 mins ,,,NTS::WAN - Planned Maintenance,Planned maintenance activity successfully completed,Wany
54,205914,1,1,Perak,PMP::A005::dmcm20247av & dmcm20247bv,Monitoring,05/06/2020 21:53:02,05/07/2020 4:24:02,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Wany
55,205783,1,1,Perak,PMP::A023::dmcm20260av & dmcm20260bv,Monitoring,05/06/2020 12:15:20,05/06/2020 12:17:20,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Wany
56,205790,1,1,Perak,PMP::A005::dmcm20247av & dmcm20247bv,Monitoring,05/06/2020 12:31:02,05/06/2020 15:37:02,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Wany
57,205774,1,1,Selangor,PMP::W006::dmcm20110av & dmcm20110bv,Monitoring,05/06/2020 11:56:00,,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),<Open Ticket>,"Issue: Site total down & pending user to verify power status
Update: Site temporary closed between 18th march - 9th June 2020.",Wany
58,205819,1,3,KL,PMP::V001::dmcm20012av,Monitoring,05/06/2020 12:04:00,,,,0 days 0 hrs 0 mins ,,AV Wired Down,<Open Ticket>,"Issue: AV Wired monitored down
Update:  Site temporary closed between 18th march - 9th June 2020.",Wany
59,205876,1,3,Perak,PMP::A043::dmcm20278av,Monitoring,05/06/2020 17:38:04,05/07/2020 7:27:03,,,0 days 0 hrs 0 mins ,,AV Wired Down,NTS::WAN Wired - Session Hang,Primary link up once telco reset port and session.,Wany
60,205752,1,1,Johor,PMP::J037::dmcm20238av & dmcm20238bv,Monitoring,05/06/2020 10:15:24,05/06/2020 10:17:24,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Wany
61,205698,1,1,Kedah,PMP::K009::dmcm20081av & dmcm20081bv,Monitoring,05/06/2020 2:05:46,05/07/2020 16:46:46,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Wany
62,205869,1,3,KL,PMP::W054::dmcm20147av,Monitoring,05/06/2020 17:35:28,,,,0 days 0 hrs 0 mins ,,AV Wired Down,<Open Ticket>,"Issue: AV Wired monitored down
Update:  Site temporary closed between 18th march - 9th June 2020.",Wany
63,205862,1,1,KL,PMP::W015::dmcm20116av & dmcm20116bv,Monitoring,05/06/2020 17:13:46,05/07/2020 10:01:46,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Wany
64,205875,1,3,KL,PMP::W023::dmcm20123av,Monitoring,05/06/2020 17:38:04,,,,0 days 0 hrs 0 mins ,,AV Wired Down,<Open Ticket>,"Issue: AV Wired monitored down
Update:  Site temporary closed between 18th march - 9th June 2020.",Wany
65,205994,1,1,Penang,PMP::P020::dmcm20305av & dmcm20305av,Monitoring,05/07/2020 13:50:45,,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),<Open Ticket>,"Issue: Site total down & pending user to verify power status
Update: Site temporary closed between 18th march - 9th June 2020.",Wany
66,206008,1,1,KL,PMP::W042::dmcm20137av & dmcm20137bv,Monitoring,05/07/2020 16:29:52,,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),<Open Ticket>,"Issue: Site total down & pending user to verify power status
Update: Site temporary closed between 18th march - 9th June 2020.",Wany
67,206037,1,1,KL,PMP::KL01::dmcm30001av & dmcm30001bv,Monitoring,05/07/2020 19:43:48,05/08/2020 8:49:49,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Wany
68,206045,1,1,Selangor,PMP::W020::dmcm20120av & dmcm20120bv,Monitoring,05/07/2020 20:38:56,,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),<Open Ticket>,"Issue: Site total down & pending user to verify power status
Update: Site temporary closed between 18th march - 9th June 2020.",Wany
69,205933,1,3,KL,PMP::W094::dmcm20011bv,Monitoring,05/07/2020 1:03:00,05/07/2020 1:30:00,,,0 days 0 hrs 0 mins ,,BV Cellular Down (Celcom),NTS::WAN Wireless - Flapping,BV router monitored up after telco reset cellular network from their end.,Wany
70,205986,1,3,Perak,PMP::A022::dmcm20259av,Monitoring,05/06/2020 17:34:24,05/13/2020 9:54:16,,,0 days 0 hrs 0 mins ,,AV Cellular Down (Maxis),NTS::WAN Wireless - Flapping,Link is up once power resumed after power outage (#207316),Wany
71,206070,1,1,Pahang,PMP::V022::dmcm20345av & dmcm20345bv,Monitoring,05/07/2020 23:31:11,05/07/2020 23:32:11,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),NTS::WAN Wireless - Flapping,Site is using dual 3G. AV wireless flapped for 1 min and restored while BV unable to triggered due to short downtime lead site total down.,Wany
72,206090,1,1,Perak,PMP::A031::dmcm20268av & dmcm20268bv,Monitoring,05/08/2020 3:16:48,05/08/2020 4:10:49,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
73,206310,1,1,Selangor,PMP::V018::dmcm20201av & dmcm20201bv,Monitoring,05/08/2020 15:54:38,05/08/2020 15:56:38,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
74,206156,1,1,Penang,PMP::P016::dmcm20302av & dmcm20302bv,Monitoring,05/08/2020 9:54:18,,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),<Open Ticket>,"Issue: Site total down & pending user to verify power status
Update: Site temporary closed between 18th march - 9th June 2020.",Nathasha
75,206215,1,3,KL,PMP::W033::dmcm20006av,Monitoring,05/08/2020 12:13:28,,,,0 days 0 hrs 0 mins ,,AV Wired Down,<Open Ticket>,"Issue: AV Wired monitored down
Update:  Site temporary closed between 18th march - 9th June 2020.",Nathasha
76,206269,1,1,Penang,PMP::P024::dmcm20308av & dmcm20308bv,Monitoring,05/08/2020 14:14:19,,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),<Open Ticket>,"Issue: Site total down & pending user to verify power status
Update: Site temporary closed between 18th march - 9th June 2020.",Nathasha
77,206356,1,3,N.Sembilan,PMP::N017::dmcm20342av,Monitoring,05/08/2020 17:15:00,05/08/2020 17:51:00,,,0 days 0 hrs 0 mins ,,AV Router Down,NTS::WAN Wireless - Flapping," Link up once Tier 2 team reset the cellular interface
Remarks: AV Wired  is monitored down and tracked in Ticket#195622.",Nathasha
78,206432,1,1,Perak,PMP::A005::dmcm20247av & dmcm20247bv,Monitoring,05/08/2020 22:28:02,05/09/2020 7:15:02,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
79,206472,1,1,Johor,PMP::J012::dmcm20219av & dmcm20219bv,Monitoring,05/09/2020 6:12:49,05/09/2020 6:17:49,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),NTS::WAN Wireless - Flapping,"AV wireless flapping & self restored. 
Remarks: AV Wired currently down (single-leg failure #201202) and BV router vlan5 connection monitored down (#204724) while AV wireless flapping lead site total down.",Nathasha
80,206563,1,3,Johor,PMP::J040::dmcm20025av,Monitoring,05/09/2020 10:54:34,05/09/2020 12:20:35,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),NTS::WAN Wired - Intermittent,Link stabilise  after TM reset the port,Nathasha
81,206654,1,1,Perak,PMP::A006::dmcm20248av & dmcm20248bv,Monitoring,05/09/2020 15:14:11,05/09/2020 15:17:10,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),NTS::WAN Wireless - Flapping,Link is monitored up and stable after signal is stable.,Nathasha
82,206644,1,1,Selangor,PMP::B047::dmcm20106av & dmcm20106bv,Monitoring,05/09/2020 14:11:23,05/09/2020 14:15:22,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
83,206711,1,1,Perak,PMP::A028::dmcm20265av & dmcm20265bv,Monitoring,05/09/2020 18:39:00,05/14/2020 10:10:10,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
84,206780,1,1,N.Sembilan,PMP::N018::dmcm20077av & dmcm20077bv,Monitoring,05/10/2020 3:11:06,05/10/2020 4:32:07,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
85,206834,1,1,Pahang,PMP::W041::dmcm20136av & dmcm20136bv,Monitoring,05/10/2020 12:06:51,05/10/2020 12:20:51,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
86,206891,1,1,Pahang,PMP::W076::dmcm20167av & dmcm20167bv,Monitoring,05/10/2020 14:41:50,05/30/2020 14:38:52,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
87,206848,1,3,Pahang,PMP::W041::dmcm20136av,Monitoring,05/10/2020 12:39:00,05/24/2020 23:18:52,,,0 days 0 hrs 0 mins ,,AV Router Down,Customer::Power Outage,"Issue: AV router down previously and followed by BV router down recently due to power outage (#210429).
Remark: Both AV router & BV router Up once power resume.",Nathasha
88,206938,1,1,Perak,PMP::A036::dmcm20273av & dmcm20273bv,Monitoring,05/10/2020 16:55:15,05/10/2020 18:51:15,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
89,206937,1,1,Perak,PMP::A045::dmcm20280av & dmcm20280bv,Monitoring,05/10/2020 16:48:52,05/11/2020 15:46:53,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
90,206879,1,1,Selangor,PMP::B027::dmcm20208av & dmcm20208bv,Monitoring,05/10/2020 13:55:18,,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),<Open Ticket>,"Issue: Site total down & pending user to verify power status
Update: Site temporary closed between 18th march - 9th June 2020.",Nathasha
91,207017,1,1,Kedah,PMP::K009::dmcm20081av & dmcm20081bv,Monitoring,05/10/2020 23:15:46,05/13/2020 14:42:47,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
